Training: 2025-04-15 12:11:46,302-Speed 60.95 samples/sec   Loss 0.8397   LearningRate 0.000996   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:12:07,143-Speed 61.42 samples/sec   Loss 0.6577   LearningRate 0.000996   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:12:27,999-Speed 61.37 samples/sec   Loss 0.8019   LearningRate 0.000996   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:12:49,182-Speed 60.43 samples/sec   Loss 0.6839   LearningRate 0.000996   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:13:10,194-Speed 60.92 samples/sec   Loss 0.9558   LearningRate 0.000996   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:13:31,115-Speed 61.18 samples/sec   Loss 0.5748   LearningRate 0.000996   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:13:52,161-Speed 60.82 samples/sec   Loss 0.6119   LearningRate 0.000996   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:14:13,030-Speed 61.34 samples/sec   Loss 0.8356   LearningRate 0.000996   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:14:36,021-Speed 55.67 samples/sec   Loss 0.7365   LearningRate 0.000996   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 12:14:56,815-Speed 61.56 samples/sec   Loss 0.8383   LearningRate 0.000996   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 131072   Required: 165 hours
Training: 2025-04-15 12:15:17,643-Speed 61.46 samples/sec   Loss 0.7143   LearningRate 0.000996   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 131072   Required: 165 hours
Training: 2025-04-15 12:15:38,475-Speed 61.44 samples/sec   Loss 0.6729   LearningRate 0.000996   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 131072   Required: 165 hours
Training: 2025-04-15 12:15:59,420-Speed 61.12 samples/sec   Loss 0.6882   LearningRate 0.000996   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 12:16:19,915-Speed 62.45 samples/sec   Loss 0.6524   LearningRate 0.000996   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 12:16:40,367-Speed 62.59 samples/sec   Loss 0.5181   LearningRate 0.000996   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 65536   Required: 165 hours
Training: 2025-04-15 12:17:00,864-Speed 62.45 samples/sec   Loss 0.6837   LearningRate 0.000996   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:17:21,343-Speed 62.50 samples/sec   Loss 0.6893   LearningRate 0.000996   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 65536   Required: 164 hours
