Training: 2025-04-09 13:45:47,184-Speed 48.52 samples/sec   Loss 0.8859   LearningRate 0.000996   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 1048576   Required: 254 hours
Training: 2025-04-09 13:46:13,530-Speed 48.58 samples/sec   Loss 0.7775   LearningRate 0.000996   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 1048576   Required: 254 hours
Training: 2025-04-09 13:46:38,933-Speed 50.39 samples/sec   Loss 0.7309   LearningRate 0.000996   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 1048576   Required: 254 hours
Training: 2025-04-09 13:47:06,014-Speed 47.27 samples/sec   Loss 0.8267   LearningRate 0.000996   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 2097152   Required: 253 hours
Training: 2025-04-09 13:47:31,270-Speed 50.68 samples/sec   Loss 0.6889   LearningRate 0.000996   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 1048576   Required: 253 hours
Training: 2025-04-09 13:47:56,395-Speed 50.95 samples/sec   Loss 0.6208   LearningRate 0.000996   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 1048576   Required: 252 hours
Training: 2025-04-09 13:48:21,274-Speed 51.45 samples/sec   Loss 0.7131   LearningRate 0.000996   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 1048576   Required: 252 hours
Training: 2025-04-09 13:48:46,544-Speed 50.65 samples/sec   Loss 0.5964   LearningRate 0.000996   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 1048576   Required: 251 hours
Training: 2025-04-09 13:49:11,557-Speed 51.20 samples/sec   Loss 0.6075   LearningRate 0.000996   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 524288   Required: 251 hours
Training: 2025-04-09 13:49:37,124-Speed 51.19 samples/sec   Loss 0.7402   LearningRate 0.000996   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 524288   Required: 250 hours
Training: 2025-04-09 13:50:02,156-Speed 51.14 samples/sec   Loss 0.6220   LearningRate 0.000996   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 524288   Required: 250 hours
Training: 2025-04-09 13:50:26,492-Speed 52.60 samples/sec   Loss 0.7960   LearningRate 0.000996   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 524288   Required: 250 hours
Training: 2025-04-09 13:50:50,967-Speed 52.30 samples/sec   Loss 0.7480   LearningRate 0.000996   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 524288   Required: 249 hours
Training: 2025-04-09 13:51:14,880-Speed 53.53 samples/sec   Loss 0.8785   LearningRate 0.000996   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 524288   Required: 249 hours
Training: 2025-04-09 13:51:40,370-Speed 50.22 samples/sec   Loss 0.6128   LearningRate 0.000996   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 524288   Required: 248 hours
Training: 2025-04-09 13:52:05,977-Speed 49.99 samples/sec   Loss 0.5106   LearningRate 0.000995   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 524288   Required: 248 hours
Training: 2025-04-09 13:52:30,345-Speed 52.53 samples/sec   Loss 0.4439   LearningRate 0.000995   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 524288   Required: 247 hours
Training: 2025-04-09 13:52:54,788-Speed 52.37 samples/sec   Loss 0.7715   LearningRate 0.000995   Epoch: 0   Global Step: 1310   Fp16 Grad Scale: 524288   Required: 247 hours
