Training: 2025-04-09 13:40:33,711-Speed 46.06 samples/sec   Loss 0.7235   LearningRate 0.000997   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 65536   Required: 261 hours
Training: 2025-04-09 13:41:00,934-Speed 47.02 samples/sec   Loss 0.7288   LearningRate 0.000997   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 65536   Required: 261 hours
Training: 2025-04-09 13:41:27,513-Speed 48.16 samples/sec   Loss 0.6928   LearningRate 0.000997   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 65536   Required: 260 hours
Training: 2025-04-09 13:41:55,341-Speed 46.00 samples/sec   Loss 1.0048   LearningRate 0.000997   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 131072   Required: 260 hours
Training: 2025-04-09 13:42:22,892-Speed 46.46 samples/sec   Loss 0.6095   LearningRate 0.000996   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 131072   Required: 259 hours
Training: 2025-04-09 13:42:49,565-Speed 47.99 samples/sec   Loss 0.6942   LearningRate 0.000996   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 131072   Required: 259 hours
Training: 2025-04-09 13:43:16,177-Speed 48.10 samples/sec   Loss 0.7607   LearningRate 0.000996   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 131072   Required: 258 hours
Training: 2025-04-09 13:43:43,572-Speed 46.72 samples/sec   Loss 0.5766   LearningRate 0.000996   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 131072   Required: 258 hours
Training: 2025-04-09 13:44:10,173-Speed 48.12 samples/sec   Loss 0.7324   LearningRate 0.000996   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 131072   Required: 258 hours
Training: 2025-04-09 13:44:38,272-Speed 45.55 samples/sec   Loss 0.7597   LearningRate 0.000996   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 131072   Required: 257 hours
Training: 2025-04-09 13:45:04,689-Speed 48.46 samples/sec   Loss 0.7275   LearningRate 0.000996   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 131072   Required: 257 hours
Training: 2025-04-09 13:45:31,531-Speed 47.69 samples/sec   Loss 0.7211   LearningRate 0.000996   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 131072   Required: 256 hours
Training: 2025-04-09 13:45:58,256-Speed 47.90 samples/sec   Loss 0.7526   LearningRate 0.000996   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 131072   Required: 256 hours
Training: 2025-04-09 13:46:24,135-Speed 49.46 samples/sec   Loss 0.6626   LearningRate 0.000996   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 262144   Required: 255 hours
Training: 2025-04-09 13:46:50,225-Speed 49.06 samples/sec   Loss 0.5018   LearningRate 0.000996   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 262144   Required: 255 hours
Training: 2025-04-09 13:47:16,638-Speed 48.46 samples/sec   Loss 0.6141   LearningRate 0.000996   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 262144   Required: 255 hours
Training: 2025-04-09 13:47:42,056-Speed 50.36 samples/sec   Loss 0.7640   LearningRate 0.000996   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 131072   Required: 254 hours
Training: 2025-04-09 13:48:07,913-Speed 49.50 samples/sec   Loss 0.5117   LearningRate 0.000996   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 131072   Required: 254 hours
Training: 2025-04-09 13:48:33,950-Speed 49.16 samples/sec   Loss 0.6341   LearningRate 0.000996   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 131072   Required: 253 hours
