Training: 2025-04-02 12:28:09,110-Speed 88.76 samples/sec   Loss 34.2945   LearningRate 0.000998   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:28:23,455-Speed 89.23 samples/sec   Loss 34.1171   LearningRate 0.000998   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:28:37,822-Speed 89.09 samples/sec   Loss 33.8670   LearningRate 0.000998   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:28:52,214-Speed 88.94 samples/sec   Loss 34.1840   LearningRate 0.000998   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:29:06,726-Speed 88.21 samples/sec   Loss 34.1272   LearningRate 0.000998   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:29:21,071-Speed 89.23 samples/sec   Loss 33.7743   LearningRate 0.000998   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:29:35,404-Speed 89.31 samples/sec   Loss 33.5868   LearningRate 0.000998   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 32768   Required: 117 hours
Training: 2025-04-02 12:29:49,802-Speed 88.91 samples/sec   Loss 33.3792   LearningRate 0.000998   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:30:04,100-Speed 89.53 samples/sec   Loss 33.3174   LearningRate 0.000998   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:30:18,501-Speed 88.89 samples/sec   Loss 33.2094   LearningRate 0.000998   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:30:32,824-Speed 89.36 samples/sec   Loss 32.8337   LearningRate 0.000998   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:30:47,094-Speed 89.71 samples/sec   Loss 32.8315   LearningRate 0.000998   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:31:01,499-Speed 88.86 samples/sec   Loss 32.5497   LearningRate 0.000998   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:31:15,818-Speed 89.40 samples/sec   Loss 32.8975   LearningRate 0.000997   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:31:30,297-Speed 88.41 samples/sec   Loss 32.0518   LearningRate 0.000997   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:31:44,658-Speed 89.13 samples/sec   Loss 32.4998   LearningRate 0.000997   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:31:58,971-Speed 89.43 samples/sec   Loss 32.4883   LearningRate 0.000997   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:32:13,342-Speed 89.07 samples/sec   Loss 31.7702   LearningRate 0.000997   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:32:29,620-Speed 78.64 samples/sec   Loss 31.6074   LearningRate 0.000997   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:32:43,948-Speed 89.34 samples/sec   Loss 31.8363   LearningRate 0.000997   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:32:58,386-Speed 88.66 samples/sec   Loss 31.4881   LearningRate 0.000997   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:33:12,605-Speed 90.02 samples/sec   Loss 31.6083   LearningRate 0.000997   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:33:27,077-Speed 88.45 samples/sec   Loss 31.7964   LearningRate 0.000997   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 16384   Required: 117 hours
