Training: 2025-04-02 12:41:58,281-Speed 63.21 samples/sec   Loss 2.2704   LearningRate 0.000997   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:42:18,509-Speed 63.28 samples/sec   Loss 2.1664   LearningRate 0.000997   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:42:38,768-Speed 63.19 samples/sec   Loss 2.0666   LearningRate 0.000997   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:42:59,074-Speed 63.03 samples/sec   Loss 2.1750   LearningRate 0.000997   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:43:19,279-Speed 63.35 samples/sec   Loss 2.1667   LearningRate 0.000997   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:43:39,539-Speed 63.18 samples/sec   Loss 2.1005   LearningRate 0.000997   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:43:59,761-Speed 63.30 samples/sec   Loss 2.0397   LearningRate 0.000997   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:44:20,062-Speed 63.05 samples/sec   Loss 1.9315   LearningRate 0.000997   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:44:40,299-Speed 63.25 samples/sec   Loss 1.7275   LearningRate 0.000997   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:45:02,202-Speed 58.44 samples/sec   Loss 2.0643   LearningRate 0.000997   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:45:22,425-Speed 63.30 samples/sec   Loss 2.1232   LearningRate 0.000997   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:45:42,750-Speed 62.98 samples/sec   Loss 1.8423   LearningRate 0.000997   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 131072   Required: 161 hours
